date,sales_q
2017-01-01,0
2017-01-02,15
2017-01-03,10
2017-01-04,15
2017-01-05,12
2017-01-06,14
2017-01-07,5
2017-01-08,3
2017-01-09,11
2017-01-10,15
2017-01-11,5
2017-01-12,3
2017-01-13,3
2017-01-14,2
2017-01-15,1
2017-01-16,4
2017-01-17,6
2017-01-18,3
2017-01-19,6
2017-01-20,5
2017-01-21,4
2017-01-22,1
2017-01-23,4
2017-01-24,9
2017-01-25,239
2017-01-26,202
2017-01-27,76
2017-01-28,86
2017-01-29,122
2017-01-30,141
2017-01-31,121
2017-02-01,151
2017-02-02,129
2017-02-03,112
2017-02-04,89
2017-02-05,101
2017-02-06,140
2017-02-07,114
2017-02-08,5
2017-02-09,7
2017-02-10,12
2017-02-11,4
2017-02-12,2
2017-02-13,6
2017-02-14,14
2017-02-15,10
2017-02-16,13
2017-02-17,10
2017-02-18,5
2017-02-19,2
2017-02-20,2
2017-02-21,6
2017-02-22,194
2017-02-23,138
2017-02-24,81
2017-02-25,131
2017-02-26,119
2017-02-27,116
2017-02-28,116
2017-03-01,113
2017-03-02,157
2017-03-03,162
2017-03-04,101
2017-03-05,128
2017-03-06,92
2017-03-07,95
2017-03-08,5
2017-03-09,12
2017-03-10,2
2017-03-11,5
2017-03-12,3
2017-03-13,1
2017-03-14,12
2017-03-15,5
2017-03-16,0
2017-03-17,7
2017-03-18,0
2017-03-19,1
2017-03-20,6
2017-03-21,10
2017-03-22,191
2017-03-23,163
2017-03-24,90
2017-03-25,64
2017-03-26,69
2017-03-27,55
2017-03-28,50
2017-03-29,71
2017-03-30,64
2017-03-31,64
2017-04-01,53
2017-04-02,59
2017-04-03,91
2017-04-04,85
2017-04-05,8
2017-04-06,10
2017-04-07,9
2017-04-08,7
2017-04-09,3
2017-04-10,11
2017-04-11,6
2017-04-12,6
2017-04-13,7
2017-04-14,2
2017-04-15,2
2017-04-16,1
2017-04-17,0
2017-04-18,10
2017-04-19,8
2017-04-20,11
2017-04-21,10
2017-04-22,3
2017-04-23,2
2017-04-24,11
2017-04-25,20
2017-04-26,7
2017-04-27,7
2017-04-28,9
2017-04-29,9
2017-04-30,6
2017-05-01,2
2017-05-02,28
2017-05-03,323
2017-05-04,366
2017-05-05,114
2017-05-06,214
2017-05-07,188
2017-05-08,0
2017-05-09,256
2017-05-10,197
2017-05-11,196
2017-05-12,124
2017-05-13,156
2017-05-14,148
2017-05-15,184
2017-05-16,162
2017-05-17,5
2017-05-18,2
2017-05-19,3
2017-05-20,2
2017-05-21,0
2017-05-22,4
2017-05-23,3
2017-05-24,6
2017-05-25,1
2017-05-26,3
2017-05-27,2
2017-05-28,2
2017-05-29,3
2017-05-30,6
2017-05-31,11
2017-06-01,7
2017-06-02,4
2017-06-03,2
2017-06-04,2
2017-06-05,7
2017-06-06,14
2017-06-07,10
2017-06-08,12
2017-06-09,7
2017-06-10,5
2017-06-11,5
2017-06-12,5
2017-06-13,13
2017-06-14,208
2017-06-15,136
2017-06-16,158
2017-06-17,116
2017-06-18,105
