date,sales_q,sales_dollars,cost
2017-01-01,0,0,0
2017-01-02,15,5037,2416.008
2017-01-03,10,3295.785,1580.721
2017-01-04,15,5071.5,2303.604
2017-01-05,12,4043.4,1845.199
2017-01-06,14,4715,2200.093
2017-01-07,5,1685.9,820.139
2017-01-08,3,1007.4,488.69
2017-01-09,11,3631.585,1775.086
2017-01-10,15,5050.8,2263.614
2017-01-11,5,1679,762.984
2017-01-12,3,1021.2,431.985
2017-01-13,3,1007.4,477.605
2017-01-14,2,671.6,303.575
2017-01-15,1,335.8,159.854
2017-01-16,4,1343.2,613.091
2017-01-17,6,2014.8,953.011
2017-01-18,3,1007.4,488.914
2017-01-19,6,2014.8,927.097
2017-01-20,5,1679,770.256
2017-01-21,4,1343.2,606.517
2017-01-22,1,335.8,168.595
2017-01-23,4,1350.1,663.606
2017-01-24,9,2874.54,1501.497
2017-01-25,239,53076.87,38704.382
2017-01-26,202,44959.365,32770.814
2017-01-27,76,17134.425,12535.04
2017-01-28,86,19445.58,14033.911
2017-01-29,122,27472.005,19977.599
2017-01-30,141,31900.77,23123.293
2017-01-31,121,27232.92,19972.194
2017-02-01,151,34268.85,23723.909
2017-02-02,129,29202.525,21417.305
2017-02-03,112,25263.315,18842.441
2017-02-04,89,20083.14,14886.622
2017-02-05,101,22895.235,16520.878
2017-02-06,140,31502.295,23048.586
2017-02-07,114,25684.56,18883.954
2017-02-08,5,1685.9,818.616
2017-02-09,7,2350.6,1158.875
2017-02-10,12,4029.6,2011.535
2017-02-11,4,1343.2,654.208
2017-02-12,2,671.6,340.07
2017-02-13,6,2014.8,956.246
2017-02-14,14,4701.2,2347.591
2017-02-15,10,3358,1652.874
2017-02-16,13,4290.65,2143.684
2017-02-17,10,3358,1691.23
2017-02-18,5,1679,846.507
2017-02-19,2,671.6,326.467
2017-02-20,2,671.6,337.431
2017-02-21,6,2021.7,977.42
2017-02-22,194,39934.9,32066.372
2017-02-23,138,28407.3,22989.02
2017-02-24,81,16673.85,13617.027
2017-02-25,131,26966.35,21665.033
2017-02-26,119,24496.15,19663.755
2017-02-27,116,23878.6,18992.17
2017-02-28,116,23878.6,19184.936
2017-03-01,113,23261.05,18424.949
2017-03-02,157,32307.18,26258.433
2017-03-03,162,33347.7,26962.098
2017-03-04,101,20790.85,16690.713
2017-03-05,128,26348.8,20958.431
2017-03-06,92,18938.2,15525.424
2017-03-07,95,19555.75,15494.542
2017-03-08,5,1679,855.275
2017-03-09,12,3942.6715,2054.103
2017-03-10,2,678.5,339.926
