Recipe_code,Recipe_name,Ingredient,Unit_weight_amount
R60502A,Saag Paneer Flatbread,Garam Masala,1
R60502A,Saag Paneer Flatbread,"Curry, Powder",1
R60502A,Saag Paneer Flatbread,Cilantro,0.25
R60502A,Saag Paneer Flatbread,"Onion, Yellow",1
R60502A,Saag Paneer Flatbread,"Cheese, Cream",1
R60502A,Saag Paneer Flatbread,"Bread, Flatbread",2
R60502A,Saag Paneer Flatbread,"Pepper, Thai Bird's Eye Chili",1
R60502A,Saag Paneer Flatbread,"Cheese, Fresh Mozzarella - 4 Ounce (oz)",4
R45085,Thai Pork Larb,"Pork, Ground",10
R45085,Thai Pork Larb,"Rice, Jade ",0.75
R45085,Thai Pork Larb,Green Beans,6
R45085,Thai Pork Larb,"Garlic, Peeled",2
R45085,Thai Pork Larb,Shallot,2
R45085,Thai Pork Larb,"Pepper, Thai Bird's Eye Chili",1
R45085,Thai Pork Larb,Soy Sauce,1
R45085,Thai Pork Larb,Sesame Oil,1
R45085,Thai Pork Larb,Lime,1
R45085,Thai Pork Larb,"Peanuts, Unsalted",1
R45085,Thai Pork Larb,"Herb, Basil",0.5
R15170A,,,
R66671A,,,
R66675A,,,
R15153A,Teriyaki Chicken and Snow Pea Stirfry,"Chicken, Stir Fry",10
R15153A,Teriyaki Chicken and Snow Pea Stirfry,"Onion, Yellow",1
R15153A,Teriyaki Chicken and Snow Pea Stirfry,Snow Peas 8oz,8
R15153A,Teriyaki Chicken and Snow Pea Stirfry,"Sesame Seeds, White",1
R15153A,Teriyaki Chicken and Snow Pea Stirfry,"Rice, Precooked Long Grain White",8.5
R15153A,Teriyaki Chicken and Snow Pea Stirfry,Teriyaki Sauce HF Private Label,4
R35111B,One-Pan Crispy Tilapia,Tilapia,11
R35111B,One-Pan Crispy Tilapia,"Breadcrumbs, Panko",0.25
R35111B,One-Pan Crispy Tilapia,Chives,0.25
R35111B,One-Pan Crispy Tilapia,Lemon,1
R35111B,One-Pan Crispy Tilapia,Asparagus,6
R10213A,Maple glazed chicken,"Chicken, Breasts",12
R10213A,Maple glazed chicken,Maple Syrup,1
R10213A,Maple glazed chicken,"Garlic, Peeled",2
R10213A,Maple glazed chicken,"Vinegar, Balsamic",25
R10213A,Maple glazed chicken,Green Beans,6
R10213A,Maple glazed chicken,"Cinnamon, Ground",1
R10213A,Maple glazed chicken,Pecans,1
R10082,Rosemary-Walnut Crusted Chicken,"Chicken, Breasts",12
R10082,Rosemary-Walnut Crusted Chicken,"Potato, Russet",12
R10082,Rosemary-Walnut Crusted Chicken,"Lettuce, Spring Mix",2
R10082,Rosemary-Walnut Crusted Chicken,"Breadcrumbs, Panko",0.25
R10082,Rosemary-Walnut Crusted Chicken,Rosemary,0.25
R10082,Rosemary-Walnut Crusted Chicken,Walnuts,1
R10082,Rosemary-Walnut Crusted Chicken,"Vinegar, Balsamic",25
R10082,Rosemary-Walnut Crusted Chicken,Dijon Mustard Packet,10
R90027A,Breakfast Sausage Flatbread with Eggs,Eggs,2
R90027A,Breakfast Sausage Flatbread with Eggs,"Sausage, Raw Breakfast Pork",4
R90027A,Breakfast Sausage Flatbread with Eggs,"Bread, Flatbread",2
R90027A,Breakfast Sausage Flatbread with Eggs,"Tomato, Roma",1
R90027A,Breakfast Sausage Flatbread with Eggs,"Herb, Basil",0.5
