y,x1,x2,x3,x4,x5,x6
3,R100 ,R131 ,17413.06,1.02,80844,5
4,R100 ,R114 ,23290.41,1.36,82980,5
5,R100 ,R163 ,18241.02,1.06,80933,5
12,R100 ,R117 ,20692.01,1.21,69184,7
13,R300 ,R352 ,8252.73,0.48,69674,6
19,R100 ,R129 ,16169.47,0.94,74595,6
26,R100 ,R117 ,20397.41,1.19,72984,7
43,R300 ,R301 ,18933.64,1.1,81050,6
48,R100 ,R175 ,14473.25,0.84,78121,8
52,R100 ,R126 ,17470.96,1.02,73182,5
55,R300 ,R352 ,11862.25,0.69,75618,6
61,R100 ,R143 ,31066.83,1.81,79900,8
64,R100 ,R176 ,26316.01,1.53,80978,8
67,R300 ,R326 ,8210.73,0.48,74609,6
68,R100 ,R102 ,13214,0.77,72394,5
69,R100 ,R105 ,16713.05,0.97,72221,7
75,R300 ,R311 ,11314.14,0.66,77492,6
76,R100 ,R143 ,22717.36,1.32,79855,8
78,R100 ,R147 ,11464.04,0.67,62523,5
79,R100 ,R176 ,16834.94,0.98,74041,8
80,R300 ,R326 ,11171.17,0.65,64431,6
82,R100 ,R110 ,13369.59,0.78,80681,5
83,R300 ,R352 ,8377.58,0.49,74591,6
85,R100 ,R143 ,17766.32,1.04,59142,8
86,R100 ,R127 ,14260.12,0.83,59850,7
90,R300 ,R332 ,15633,0.91,76659,4
93,R100 ,R179 ,14529.19,0.85,72158,8
95,R300 ,R341 ,8524.54,0.5,73885,6
96,R300 ,R322 ,10237.9,0.6,65671,6
100,R100 ,R101 ,21131.13,1.23,87002,5
108,R100 ,R140 ,15754.07,0.92,71622,5
111,R100 ,R138 ,11261.98,0.66,66487,5
137,R100 ,R147 ,15292.52,0.89,64431,5
139,R100 ,R168 ,11471.15,0.67,64721,5
144,R300 ,R333 ,10607.4,0.62,73295,4
146,R300 ,R369 ,18405.68,1.07,81849,4
147,R100 ,R177 ,12738.47,0.74,64658,8
151,R300 ,R351 ,13956.32,0.81,76401,4
152,R100 ,R150 ,12321.35,0.72,61912,5
154,R100 ,R177 ,14698.64,0.86,77392,8
158,R300 ,R303 ,10653.68,0.62,77114,6
162,R100 ,R167 ,12722.31,0.74,62900,6
164,R100 ,R176 ,11060.36,0.65,48505,8
167,R300 ,R353 ,9746.49,0.57,64427,6
171,R100 ,R161 ,17392.43,1.01,64978,8
176,R300 ,R327 ,8160.21,0.48,54334,6
183,R200 ,R219 ,13248.23,0.77,63185,9
184,R200 ,R263 ,24366.54,1.42,69243,9
188,R200 ,R248 ,11887.53,0.69,71593,9
189,R200 ,R263 ,15584.92,0.91,59354,9
190,R200 ,R263 ,24461.04,1.43,75264,9
192,R200 ,R222 ,13160.46,0.77,76558,9
193,R200 ,R222 ,14146.35,0.83,68708,9
195,R200 ,R207 ,23764.51,1.39,72859,9
198,R200 ,R239 ,23030.22,1.34,73725,9
199,R200 ,R239 ,26726.84,1.56,75022,9
200,R200 ,R239 ,21217.78,1.24,74377,9
201,R200 ,R201 ,25958.87,1.51,73626,9
203,R200 ,R201 ,16166.95,0.94,77253,9
205,R200 ,R231 ,16046.88,0.94,59508,9
212,R200 ,R232 ,14804.74,0.86,74467,9
215,R100 ,R114 ,21632.8,1.26,81513,5
217,R100 ,R107 ,18711.11,1.09,65702,7
219,R300 ,R342 ,10912.68,0.64,63415,6
220,R100 ,R101 ,19106.85,1.11,86457,5
221,R300 ,R352 ,10463.51,0.61,72153,6
222,R200 ,R217 ,12018.7,0.7,77076,9
223,R100 ,R110 ,13154.64,0.77,73069,5
224,R100 ,R176 ,14574.35,0.85,64499,8
226,R200 ,R206 ,10126.04,0.59,78081,9
227,R200 ,R217 ,15610.25,0.91,75351,9
228,R200 ,R209 ,14994.32,0.87,65908,9
229,R200 ,R222 ,19104.43,1.11,71296,9
230,R200 ,R244 ,14022.91,0.82,75821,9
233,R300 ,R377 ,11728.62,0.68,77536,9
238,R100 ,R128 ,13388.86,0.78,65788,5
239,R100 ,R118 ,16367.14,0.95,66234,7
245,R200 ,R219 ,15621.46,0.91,66047,9
246,R200 ,R209 ,15074.4,0.88,75764,9
249,R200 ,R202 ,18977.52,1.11,65847,9
250,R200 ,R202 ,15300.04,0.89,66600,9
251,R300 ,R379 ,12822.92,0.75,73509,9
253,R100 ,R161 ,15975.28,0.93,49740,8
254,R300 ,R342 ,11721.89,0.68,49242,6
255,R300 ,R352 ,8613.77,0.5,65457,6
256,R100 ,R175 ,26823.57,1.56,72029,8
257,R200 ,R219 ,16386,0.96,75789,9
258,R200 ,R206 ,11366.3,0.66,66623,9
259,R200 ,R261 ,18550.29,1.08,80244,9
260,R100 ,R101 ,16117.45,0.94,63467,5
264,R300 ,R373 ,12624.49,0.74,61072,9
265,R300 ,R380 ,11977.66,0.7,81141,9
267,R200 ,R220 ,17884.67,1.04,81103,9
271,R100 ,R179 ,16025.48,0.93,76348,8
273,R200 ,R218 ,16760.95,0.98,76899,9
274,R200 ,R231 ,15577.34,0.91,71978,9
275,R200 ,R213 ,12949.36,0.76,66256,9
278,R100 ,R134 ,14748.05,0.86,75968,5
279,R100 ,R137 ,11085.89,0.65,77477,5
280,R100 ,R148 ,11631.64,0.68,76161,5
281,R100 ,R148 ,9908.12,0.58,78235,5
